FILENAME,THREAD_COUNT,NUM_ITER,TRIAL_COUNT,ELAPSED_TIME,VIR_MEM (KB),PHYS_MEM (KB),,,OMP Averages,,
slurm-1422387.out:DATA,8,400000000,7,1551.453,106964,680,,,,,
slurm-1422388.out:DATA,8,400000000,8,1557.025,106964,680,,,,,
slurm-1422389.out:DATA,8,400000000,9,1557.947,106964,680,,,,,
slurm-1422390.out:DATA,8,400000000,10,1538.761,106964,680,,,,,
slurm-1422391.out:DATA,16,100000000,1,388.883,106964,684,,,,,
slurm-1422392.out:DATA,16,100000000,2,383.761,106964,684,387.9438,,,,
slurm-1422393.out:DATA,16,100000000,3,388.592,106964,684,775.4496,,,,
slurm-1422394.out:DATA,16,100000000,4,388.92,106964,684,1151.638889,,,,
slurm-1422395.out:DATA,16,100000000,5,383.876,106964,684,1498.8647,,,,
slurm-1422396.out:DATA,16,100000000,6,382.279,106964,684,,,,,
slurm-1422397.out:DATA,16,100000000,7,386.775,106964,684,,,,,
slurm-1422398.out:DATA,16,100000000,8,397.782,106964,684,,,,,
slurm-1422399.out:DATA,16,100000000,9,387.614,106964,680,,,,,
slurm-1422400.out:DATA,16,100000000,10,390.956,106964,684,,,,,
slurm-1422401.out:DATA,16,200000000,1,775.392,106964,684,,,,,
slurm-1422402.out:DATA,16,200000000,2,783.91,106964,684,,,,,
slurm-1422403.out:DATA,16,200000000,3,775.989,106964,684,,,,,
slurm-1422404.out:DATA,16,200000000,4,785.942,106964,684,,,,,
slurm-1422405.out:DATA,16,200000000,5,777.173,106964,684,,,,,
slurm-1422406.out:DATA,16,200000000,6,773.586,106964,684,,,,,
slurm-1422407.out:DATA,16,200000000,7,778.205,106964,684,,,,,
slurm-1422408.out:DATA,16,200000000,8,766.222,106964,684,,,,,
slurm-1422409.out:DATA,16,200000000,9,760.237,106964,684,,,,,
slurm-1422410.out:DATA,16,200000000,10,777.84,106964,684,,,,,
slurm-1422411.out:DATA,16,300000000,1,1153.737,106964,684,,,,,
slurm-1422412.out:DATA,16,300000000,2,1169.527,106964,684,,,,,
slurm-1422413.out:DATA,16,300000000,3,1169.586,106964,684,,,,,
slurm-1422414.out:DATA,16,300000000,4,1165.082,106964,684,,,,,
slurm-1422415.out:DATA,16,300000000,5,1162.293,106964,684,,,,,
slurm-1422416.out:DATA,16,300000000,6,,106964,684,1877.083,,,,
slurm-1422417.out:DATA,16,300000000,7,1103.132,106964,684,,,,,
slurm-1422418.out:DATA,16,300000000,8,1094.128,106964,684,,,,,
slurm-1422419.out:DATA,16,300000000,9,1094.148,106964,684,,,,,
slurm-1422420.out:DATA,16,300000000,10,1253.117,106964,684,,,,,
slurm-1422421.out:DATA,16,400000000,1,1465.73,106964,684,,,,,
slurm-1422422.out:DATA,16,400000000,2,1465.053,106964,684,,,,,
slurm-1422423.out:DATA,16,400000000,3,1460.559,106964,684,,,,,
slurm-1422424.out:DATA,16,400000000,4,1620.672,106964,684,,,,,
slurm-1422425.out:DATA,16,400000000,5,1471.549,106964,684,,,,,
slurm-1422426.out:DATA,16,400000000,6,1462.867,106964,684,,,,,
slurm-1422427.out:DATA,16,400000000,7,1459.214,106964,684,,,,,
slurm-1422428.out:DATA,16,400000000,8,1459.527,106964,684,,,,,
slurm-1422429.out:DATA,16,400000000,9,1569.071,106964,684,,,,,
slurm-1422430.out:DATA,16,400000000,10,1554.405,106964,684,,,,,
